"StateFIPS","State","Year","Value","Data Comment","Age Group"
"06","California","2016","10.9","","10 TO 14"
"06","California","2016","8.1","","15 TO 17"
"06","California","2017","8.9","","0 TO 4"
"06","California","2017","Suppressed","","5 TO 9"
"06","California","2017","9.0","","10 TO 14"
"06","California","2017","6.9","","15 TO 17"
"06","California","2018","Suppressed","","0 TO 4"
"06","California","2018","6.5","","5 TO 9"
"06","California","2018","8.8","","10 TO 14"
"06","California","2018","7.5","","15 TO 17"
"06","California","2019","3.9","","0 TO 4"
"06","California","2019","8.2","","5 TO 9"
"06","California","2019","9.7","","10 TO 14"
"06","California","2019","8.7","","15 TO 17"
"06","California","2020","Suppressed","","0 TO 4"
"06","California","2020","Suppressed","","5 TO 9"
"06","California","2020","6.0","","10 TO 14"
"06","California","2020","Suppressed","","15 TO 17"
"08","Colorado","2011","Data Not Collected","","0 TO 4"
"08","Colorado","2011","Data Not Collected","","5 TO 9"
"08","Colorado","2011","Data Not Collected","","10 TO 14"
"08","Colorado","2011","Data Not Collected","","15 TO 17"
"08","Colorado","2012","Data Not Collected","","0 TO 4"
"08","Colorado","2012","Data Not Collected","","5 TO 9"
"08","Colorado","2012","Data Not Collected","","10 TO 14"
"08","Colorado","2012","Data Not Collected","","15 TO 17"
"08","Colorado","2013","Data Not Collected","","0 TO 4"
"08","Colorado","2013","Data Not Collected","","5 TO 9"
"08","Colorado","2013","Data Not Collected","","10 TO 14"
"08","Colorado","2013","Data Not Collected","","15 TO 17"
"08","Colorado","2014","Data Not Collected","","0 TO 4"
"08","Colorado","2014","Data Not Collected","","5 TO 9"
"08","Colorado","2014","Data Not Collected","","10 TO 14"
"08","Colorado","2014","Data Not Collected","","15 TO 17"
"08","Colorado","2015","Data Not Collected","","0 TO 4"
"08","Colorado","2015","Data Not Collected","","5 TO 9"
"08","Colorado","2015","Data Not Collected","","10 TO 14"
"08","Colorado","2015","Data Not Collected","","15 TO 17"
"08","Colorado","2016","Data Not Collected","","0 TO 4"
"08","Colorado","2016","Data Not Collected","","5 TO 9"
"08","Colorado","2016","Data Not Collected","","10 TO 14"
"08","Colorado","2016","Data Not Collected","","15 TO 17"
"08","Colorado","2017","Data Not Collected","","0 TO 4"
"08","Colorado","2017","Data Not Collected","","5 TO 9"
"08","Colorado","2017","Data Not Collected","","10 TO 14"
"08","Colorado","2017","Data Not Collected","","15 TO 17"
"08","Colorado","2018","Data Not Collected","","0 TO 4"
"08","Colorado","2018","Data Not Collected","","5 TO 9"
"08","Colorado","2018","Data Not Collected","","10 TO 14"
"08","Colorado","2018","Data Not Collected","","15 TO 17"
"08","Colorado","2019","Data Not Collected","","0 TO 4"
"08","Colorado","2019","Data Not Collected","","5 TO 9"
"08","Colorado","2019","Data Not Collected","","10 TO 14"
"08","Colorado","2019","Data Not Collected","","15 TO 17"
"08","Colorado","2020","Data Not Collected","","0 TO 4"
"08","Colorado","2020","Data Not Collected","","5 TO 9"
"08","Colorado","2020","Data Not Collected","","10 TO 14"
"08","Colorado","2020","Data Not Collected","","15 TO 17"
"09","Connecticut","2011","5.8","","0 TO 4"
"09","Connecticut","2011","13.3","","5 TO 9"
"09","Connecticut","2011","14.8","","10 TO 14"
"09","Connecticut","2011","13.7","","15 TO 17"
"09","Connecticut","2012","7.0","","0 TO 4"
"09","Connecticut","2012","10.1","","5 TO 9"
"09","Connecticut","2012","19.3","","10 TO 14"
"09","Connecticut","2012","11.5","","15 TO 17"
"09","Connecticut","2013","Suppressed","","0 TO 4"
"09","Connecticut","2013","10.1","","5 TO 9"
"09","Connecticut","2013","13.4","","10 TO 14"
"09","Connecticut","2013","12.0","","15 TO 17"
"09","Connecticut","2014","Suppressed","","0 TO 4"
"09","Connecticut","2014","12.7","","5 TO 9"
"09","Connecticut","2014","10.2","","10 TO 14"
"09","Connecticut","2014","11.6","","15 TO 17"
"09","Connecticut","2015","8.6","","0 TO 4"
"09","Connecticut","2015","10.1","","5 TO 9"
"09","Connecticut","2015","17.1","","10 TO 14"
"09","Connecticut","2015","10.9","","15 TO 17"
"09","Connecticut","2016","7.0","","0 TO 4"
"09","Connecticut","2016","12.6","","5 TO 9"
"09","Connecticut","2016","12.7","","10 TO 14"
"09","Connecticut","2016","11.8","","15 TO 17"
"09","Connecticut","2017","6.7","","0 TO 4"
"09","Connecticut","2017","9.0","","5 TO 9"
"09","Connecticut","2017","14.6","","10 TO 14"
"09","Connecticut","2017","16.4","","15 TO 17"
"09","Connecticut","2018","5.6","","0 TO 4"
"09","Connecticut","2018","9.0","","5 TO 9"
"09","Connecticut","2018","12.0","","10 TO 14"
"09","Connecticut","2018","12.3","","15 TO 17"
"09","Connecticut","2019","Suppressed","","0 TO 4"
"09","Connecticut","2019","11.1","","5 TO 9"
"09","Connecticut","2019","9.5","","10 TO 14"
"09","Connecticut","2019","10.5","","15 TO 17"
"09","Connecticut","2020","11.8","","0 TO 4"
"09","Connecticut","2020","11.8","","5 TO 9"
"09","Connecticut","2020","13.9","","10 TO 14"
"09","Connecticut","2020","8.6","","15 TO 17"
"10","Delaware","2011","Data Not Collected","","0 TO 4"
"10","Delaware","2011","Data Not Collected","","5 TO 9"
"10","Delaware","2011","Data Not Collected","","10 TO 14"
"10","Delaware","2011","Data Not Collected","","15 TO 17"
"10","Delaware","2012","Data Not Collected","","0 TO 4"
"10","Delaware","2012","Data Not Collected","","5 TO 9"
"10","Delaware","2012","Data Not Collected","","10 TO 14"
"10","Delaware","2012","Data Not Collected","","15 TO 17"
"10","Delaware","2013","Data Not Collected","","0 TO 4"
"10","Delaware","2013","Data Not Collected","","5 TO 9"
"10","Delaware","2013","Data Not Collected","","10 TO 14"
"10","Delaware","2013","Data Not Collected","","15 TO 17"
"10","Delaware","2014","Data Not Collected","","0 TO 4"
"10","Delaware","2014","Data Not Collected","","5 TO 9"
"10","Delaware","2014","Data Not Collected","","10 TO 14"
"10","Delaware","2014","Data Not Collected","","15 TO 17"
"10","Delaware","2015","Data Not Collected","","0 TO 4"
"10","Delaware","2015","Data Not Collected","","5 TO 9"
"10","Delaware","2015","Data Not Collected","","10 TO 14"
"10","Delaware","2015","Data Not Collected","","15 TO 17"
"10","Delaware","2016","Data Not Collected","","0 TO 4"
"10","Delaware","2016","Data Not Collected","","5 TO 9"
"10","Delaware","2016","Data Not Collected","","10 TO 14"
"10","Delaware","2016","Data Not Collected","","15 TO 17"
"10","Delaware","2017","Data Not Collected","","0 TO 4"
"10","Delaware","2017","Data Not Collected","","5 TO 9"
"10","Delaware","2017","Data Not Collected","","10 TO 14"
"10","Delaware","2017","Data Not Collected","","15 TO 17"
"10","Delaware","2018","Data Not Collected","","0 TO 4"
"10","Delaware","2018","Data Not Collected","","5 TO 9"
"10","Delaware","2018","Data Not Collected","","10 TO 14"
"10","Delaware","2018","Data Not Collected","","15 TO 17"
"10","Delaware","2019","Data Not Collected","","0 TO 4"
"10","Delaware","2019","Data Not Collected","","5 TO 9"
"10","Delaware","2019","Data Not Collected","","10 TO 14"
"10","Delaware","2019","Data Not Collected","","15 TO 17"
"10","Delaware","2020","Data Not Collected","","0 TO 4"
"10","Delaware","2020","Data Not Collected","","5 TO 9"
"10","Delaware","2020","Data Not Collected","","10 TO 14"
"10","Delaware","2020","Data Not Collected","","15 TO 17"
"11","District of Columbia","2011","Data Not Collected","","0 TO 4"
"11","District of Columbia","2011","Data Not Collected","","5 TO 9"
"11","District of Columbia","2011","Data Not Collected","","10 TO 14"
"11","District of Columbia","2011","Data Not Collected","","15 TO 17"
"11","District of Columbia","2012","Suppressed","","0 TO 4"
